"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.711819625E0,-4.425935137E-1,2.057645859E0,8.009165168E-2,2.106231272E0
2.721880625E0,-5.044389289E-1,1.174955666E0,-6.389077127E-2,1.280258365E0
2.731942625E0,-2.762075753E-1,5.807514885E-1,-1.010200059E-1,6.509746214E-1
2.742003625E0,3.948905031E-1,2.323099656E0,1.974429309E-2,2.356505964E0
2.752064625E0,-2.119725492E-1,1.779653440E0,1.616696656E-2,1.792305805E0
2.762125625E0,-5.463556810E-1,7.658186779E-1,-9.594696164E-3,9.407841601E-1
2.772186625E0,-4.389255553E-1,8.315466443E-1,-4.668767810E-2,9.414378387E-1
2.782248625E0,-3.751474891E-1,1.197343851E0,5.363826334E-2,1.255884150E0
2.792309625E0,-4.505320225E-1,8.278269381E-1,-3.449330986E-2,9.431152269E-1
2.802370625E0,-3.113006450E-1,8.957276568E-1,6.999117136E-4,9.482808743E-1
2.812431625E0,-9.421008278E-2,6.109570717E-1,-7.544662356E-2,6.227650248E-1
2.822492625E0,1.059103613E-1,7.466075047E-1,8.487993658E-2,7.588441041E-1
2.832554625E0,-1.287684429E-1,2.550162973E-1,-6.029648781E-2,2.919765234E-1
2.842615625E0,-4.580422594E-1,-2.784212398E-1,6.221203566E-2,5.396215670E-1
2.852676625E0,-5.518417215E-1,7.949878056E-1,-2.246792614E-2,9.680081117E-1
2.862737625E0,-1.052834886E0,-3.482260311E-1,4.986154675E-2,1.110049026E0
2.872799625E0,-1.126092678E0,-6.542269061E-1,-7.017769754E-2,1.304232522E0
2.882860625E0,-1.163215407E0,6.908398316E-1,2.788654089E-2,1.353184177E0
2.892921625E0,-1.256009843E0,5.356895922E-1,-7.748730183E-2,1.367672602E0
2.902982875E0,-6.821692879E-1,-3.505448907E-1,1.185429418E-1,7.760728618E-1
2.913043875E0,-6.504984930E-2,-9.744625352E-1,4.702447772E-2,9.777627610E-1
2.923105875E0,2.302606481E-1,-8.853228289E-1,4.582229018E-2,9.159236648E-1
2.933166875E0,6.271460841E-2,-5.911183461E-1,2.473313749E-2,5.949502074E-1
2.943227875E0,-2.716264097E-1,-8.509470481E-1,9.651414156E-3,8.933000251E-1
2.953288875E0,-3.959691682E-1,-1.223949559E0,4.224964142E-2,1.287101060E0
2.963350875E0,7.469099885E-2,-1.386560480E0,-2.672586858E-2,1.388827917E0
2.973411875E0,1.158925817E-1,-1.348187835E0,9.562185645E-2,1.356534212E0
2.983472875E0,2.186681958E-1,-1.486219108E0,6.522802949E-2,1.503634834E0
2.993533875E0,3.244348435E-1,-2.226332184E0,7.216575086E-2,2.251004410E0
3.003594875E0,4.744882843E-1,-1.427979379E0,2.505181074E-2,1.504955757E0
3.013656875E0,2.822948740E-1,-1.204529933E0,5.846338570E-2,1.238547828E0
3.023717875E0,-4.730280519E-1,-1.779068572E0,1.195170879E-2,1.840919163E0
3.033778875E0,-6.795881807E-1,-1.584275599E0,-1.076180041E-1,1.727237941E0
3.043839875E0,-3.043729736E-1,-1.434836993E0,1.175319582E-1,1.471466569E0
3.053901875E0,6.323930374E-1,-1.658132365E0,9.989792526E-2,1.777442963E0
3.063962875E0,1.280162205E0,-1.817476885E0,-9.196968555E-2,2.224970994E0
