"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.7247013330,0.2183958435,-0.0020956421,-0.0127235410,9.7997105640
2.7347623330,0.2176473999,0.0170645142,-0.0073347470,9.8050960040
2.7448233330,0.2038760376,0.0432600403,-0.0115260310,9.8006902300
2.7548833330,0.1811233521,0.0504450989,-0.0185614010,9.7932436000
2.7649443330,0.1733395386,0.0613723755,-0.0125738530,9.7991516100
2.7750049580,0.1815724182,0.0796343994,-0.0109272770,9.8010783290
2.7850659580,0.1742376709,0.0670605469,-0.0152682500,9.7965109070
2.7951269580,0.1737886047,0.0368234253,-0.0052391050,9.8063701060
2.8051869580,0.1919009399,0.0245489502,-0.0263452150,9.7855674120
2.8152479580,0.1878593445,0.0215551758,-0.0157173160,9.7961078530
2.8253089580,0.1992356873,0.0175135803,-0.0091310120,9.8029094920
2.8353699580,0.2160008240,0.0245489502,0.0103285220,9.8227344100
2.8454309580,0.2288740540,0.0467028809,-0.0104782100,9.8023054330
2.8554909580,0.2037263489,0.0758921814,-0.0101788330,9.8022323450
2.8655519580,0.2001338196,0.1046324158,-0.0197589110,9.7928454530
2.8756129580,0.1911524963,0.1219963074,-0.0157173160,9.7969074550
2.8856739580,0.1844165039,0.1106199646,-0.0155676270,9.7967929310
2.8957349580,0.1938468933,0.0687071228,-0.0148191830,9.7973396650
2.9057949580,0.2148033142,0.0519419861,-0.0113763430,9.8011154470
2.9158559580,0.2073188782,0.0121247864,-0.0254470830,9.7867565580
2.9259169580,0.2246827698,-0.0140707398,-0.0034428410,9.8091408210
2.9359779580,0.2097138977,-0.0128732300,-0.0038919070,9.8083587610
2.9460389580,0.1989363098,0.0330812073,-0.0040415950,9.8080319260
2.9560989580,0.1733395386,0.0869691467,-0.0232017520,9.7887195370
2.9661599580,0.1607656860,0.1079255676,-0.0191601560,9.7927543820
2.9762209580,0.1595681763,0.0955014038,-0.0137713620,9.7979935720
2.9862819580,0.1594184875,0.0748443603,-0.0026943970,9.8088867420
2.9963429580,0.1956431580,0.0389190674,-0.0203576660,9.7916744210
3.0064029580,0.2194436646,0.0214054871,-0.0056881710,9.8067907160
3.0164639580,0.2052232361,0.0026943970,-0.0011975100,9.8109495020
3.0265249580,0.2116598511,0.0134719849,-0.0121247860,9.8001704110
3.0365859580,0.1984872437,0.0248483276,-0.0190104680,9.7930327610
3.0466469580,0.1874102783,0.0706530762,-0.0131726070,9.7988744980
3.0567069580,0.1842668152,0.0937051392,-0.0188607790,9.7933213040
3.0667679580,0.1710942078,0.0920585632,-0.0224533080,9.7894748710
3.0768289580,0.2017803955,0.0961001587,-0.0112266540,9.8013218320
3.0868899580,0.2085163879,0.0832269287,-0.0152682500,9.7973045210
3.0969509580,0.2332150269,0.0631686401,-0.0214054870,9.7915760770
3.1070119580,0.2185455322,0.0516426086,-0.0184117130,9.7941630730
3.1170719580,0.2302212524,0.0510438538,-0.0074844360,9.8053515330
3.1271329580,0.2085163879,0.0324824524,-0.0232017520,9.7890732020
3.1371939580,0.2050735474,0.0441581726,-0.0095800780,9.8026647270
3.1472549580,0.2094145203,0.0597257996,-0.0121247860,9.8002949100
3.1573159580,0.1974394226,0.0425115967,-0.0044906620,9.8075890490
3.1673759580,0.1824705505,0.0449066162,-0.0005987550,9.8112009910
3.1774369580,0.1773811340,0.0574804687,-0.0211061100,9.7906696230
3.1874979580,0.1947450256,0.0428109741,-0.0264949040,9.7855367960
