"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.437035708E0,2.134261780E0,1.994602203E0,9.710756378E0,1.014062625E1
2.447096708E0,2.489922180E0,2.530936890E0,1.000205063E1,1.061349946E1
2.457157708E0,2.107766876E0,2.682571564E0,9.906249847E0,1.047724474E1
2.467217708E0,1.443897400E0,2.699486389E0,9.838291168E0,1.030359353E1
2.477278708E0,1.262923737E0,2.686912537E0,9.614955597E0,1.006289454E1
2.487339708E0,1.577569427E0,2.811453552E0,9.691745911E0,1.021385995E1
2.497400708E0,1.837129669E0,2.631527710E0,9.785301361E0,1.029816033E1
2.507460708E0,2.109413452E0,2.470911713E0,9.664053497E0,1.019553627E1
2.517521708E0,2.308649139E0,2.605032806E0,9.860445099E0,1.045678891E1
2.527582708E0,2.054777069E0,2.748584290E0,9.817334747E0,1.039985028E1
2.537643708E0,1.849553833E0,2.782264252E0,9.970466309E0,1.051532416E1
2.547703708E0,1.762884064E0,2.519111481E0,9.767638092E0,1.024013851E1
2.557764708E0,1.795965271E0,2.443368988E0,9.465266876E0,9.939155915E0
2.567825708E0,2.262095947E0,2.492317200E0,9.793384552E0,1.035563152E1
2.577886708E0,2.784359894E0,2.074236603E0,9.898016968E0,1.048932111E1
2.587946708E0,3.003055115E0,1.803898773E0,9.640552368E0,1.025732133E1
2.598007708E0,3.167413330E0,2.106719055E0,9.975106659E0,1.067583839E1
2.608068708E0,2.777773590E0,1.895358582E0,9.756860504E0,1.032011323E1
2.618129708E0,2.336042175E0,1.788929901E0,9.725575562E0,1.016091449E1
2.628189708E0,1.806443481E0,1.890568542E0,9.677375793E0,1.002442466E1
2.638250708E0,1.744622040E0,2.164798279E0,9.846374359E0,1.023138044E1
2.648311708E0,2.200424194E0,2.340981903E0,9.715097351E0,1.023255488E1
2.658372708E0,2.665806427E0,2.230361938E0,9.818232880E0,1.041531253E1
