"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.334634375E0,6.331832886E-2,-9.041198730E-2,9.759704590E0,9.760328745E0
2.344665375E0,4.984634399E-2,-6.840774536E-2,9.798623657E0,9.798989226E0
2.354697375E0,7.439529419E-2,-7.229965210E-2,9.771380310E0,9.771930979E0
2.364729375E0,6.676116943E-2,-8.202941895E-2,9.747879181E0,9.748452924E0
2.374760375E0,5.373825073E-2,-8.307723999E-2,9.774374084E0,9.774874852E0
2.384792375E0,6.167175293E-2,-7.319778442E-2,9.801467743E0,9.801935076E0
2.394823375E0,5.463638306E-2,-7.080276489E-2,9.773925018E0,9.774334168E0
2.404854375E0,5.239105225E-2,-9.669891357E-2,9.760902100E0,9.761521669E0
2.414886375E0,5.867797852E-2,-7.574249268E-2,9.809401245E0,9.809869154E0
2.424917375E0,7.050338745E-2,-7.753875732E-2,9.792336731E0,9.792897510E0
2.434948375E0,6.361770630E-2,-8.921447754E-2,9.752968597E0,9.753584105E0
2.444980375E0,8.577163696E-2,-8.696914673E-2,9.766290894E0,9.767054736E0
2.455011375E0,6.526428223E-2,-7.619155884E-2,9.814490662E0,9.815003389E0
2.465043375E0,7.469467163E-2,-8.083190918E-2,9.786199493E0,9.786818360E0
2.475075375E0,6.286926270E-2,-8.023315430E-2,9.770781555E0,9.771313223E0
2.485106375E0,5.134323120E-2,-6.616241455E-2,9.766290894E0,9.766649958E0
2.495138375E0,6.092330933E-2,-9.145980835E-2,9.787546692E0,9.788163607E0
2.505169375E0,5.583389282E-2,-9.250762939E-2,9.788145447E0,9.788741818E0
2.515201375E0,6.840774536E-2,-7.065307617E-2,9.776020660E0,9.776515301E0
2.525232375E0,6.750961304E-2,-8.352630615E-2,9.789043579E0,9.789632699E0
2.535263375E0,6.721023560E-2,-7.903564453E-2,9.792785797E0,9.793335362E0
2.545294375E0,5.837860107E-2,-9.400451660E-2,9.784253540E0,9.784879266E0
2.555325375E0,5.972579956E-2,-8.562194824E-2,9.780960388E0,9.781517490E0
2.565355375E0,8.382568359E-2,-7.214996338E-2,9.771380310E0,9.772006218E0
2.575386375E0,5.972579956E-2,-7.244934082E-2,9.776769104E0,9.777219962E0
2.585417375E0,4.715194702E-2,-7.080276489E-2,9.798923035E0,9.799292269E0
2.595447375E0,6.511459351E-2,-7.484436035E-2,9.795629883E0,9.796132216E0
2.605478375E0,6.900650024E-2,-8.202941895E-2,9.774374084E0,9.774961865E0
2.615509375E0,6.436614990E-2,-6.915618896E-2,9.770482178E0,9.770938930E0
